id,type,host_Z,visits_needed,visits_done,started,completed
196,Ia,20.272,1,0,0,0
197,Ia,21.123,1,1,1,1
198,Ia,19.974,1,1,1,1
199,Ia,25.130,122,0,0,0
200,Ia,19.967,1,1,1,1
201,Ia,20.374,1,1,1,1
202,Ia,20.389,1,0,0,0
203,Ia,20.633,1,1,1,1
204,Ia,21.573,1,1,1,1
205,Ia,20.705,1,0,0,0
206,Ia,20.195,1,0,0,0
207,Ia,23.644,8,8,1,1
208,Ia,22.175,1,1,1,1
209,Ia,23.433,6,6,1,1
210,Ia,19.858,1,1,1,1
211,Ia,22.071,1,1,1,1
212,Ia,21.196,1,1,1,1
213,Ia,21.620,1,1,1,1
214,Ia,21.631,1,1,1,1
216,Ia,20.992,1,1,1,1
217,Ia,22.060,1,1,1,1
218,Ia,21.554,1,1,1,1
219,Ia,21.092,1,0,0,0
220,Ia,21.452,1,1,1,1
221,Ia,21.947,1,1,1,1
222,Ia,21.941,1,0,0,0
223,Ia,23.218,4,0,0,0
225,Ia,22.970,3,3,1,1
226,Ia,21.357,1,0,0,0
227,Ia,24.576,44,5,1,0
228,Ia,23.592,8,8,1,1
229,Ia,20.099,1,0,0,0
230,Ia,22.394,1,0,0,0
231,Ia,21.918,1,0,0,0
233,Ia,20.276,1,1,1,1
234,Ia,20.863,1,1,1,1
235,Ia,22.750,2,2,1,1
236,Ia,22.261,1,0,0,0
237,Ia,20.636,1,1,1,1
238,Ia,22.227,1,1,1,1
239,Ia,22.435,1,0,0,0
240,Ia,18.383,1,1,1,1
241,Ia,20.668,1,1,1,1
242,Ia,23.851,12,0,0,0
243,Ia,20.159,1,1,1,1
245,Ia,21.691,1,1,1,1
246,Ia,21.343,1,0,0,0
247,Ia,20.337,1,1,1,1
248,Ia,21.585,1,1,1,1
249,Ia,23.484,6,6,1,1
250,Ia,21.800,1,1,1,1
251,Ia,22.588,2,2,1,1
253,Ia,22.391,1,1,1,1
254,Ia,20.648,1,0,0,0
255,Ia,19.298,1,1,1,1
256,Ia,21.848,1,0,0,0
257,Ia,22.541,2,2,1,1
258,Ia,21.057,1,0,0,0
259,Ia,22.785,2,0,0,0
260,Ia,20.513,1,1,1,1
261,Ia,23.707,9,9,1,1
262,Ia,19.097,1,0,0,0
263,Ia,22.336,1,0,0,0
264,Ia,22.481,1,1,1,1
266,Ia,23.296,5,5,1,1
267,Ia,18.640,1,1,1,1
268,Ia,20.802,1,0,0,0
269,Ia,21.480,1,0,0,0
270,Ia,20.958,1,1,1,1
271,Ia,22.219,1,1,1,1
272,Ia,21.727,1,1,1,1
273,Ia,20.935,1,1,1,1
274,Ia,22.353,1,0,0,0
275,Ia,22.111,1,1,1,1
276,Ia,24.292,26,0,0,0
277,Ia,20.538,1,1,1,1
278,Ia,20.966,1,1,1,1
279,Ia,20.889,1,0,0,0
280,Ia,21.899,1,1,1,1
281,Ia,24.597,46,4,1,0
282,Ia,22.043,1,0,0,0
283,Ia,22.153,1,0,0,0
285,Ia,22.872,2,2,1,1
286,Ia,21.301,1,0,0,0
287,Ia,23.233,4,4,1,1
288,Ia,21.352,1,1,1,1
289,Ia,20.571,1,0,0,0
290,Ia,20.589,1,0,0,0
291,Ia,24.382,31,11,1,0
293,Ia,24.113,19,19,1,1
294,Ia,21.666,1,0,0,0
295,Ia,23.158,4,0,0,0
296,Ia,22.254,1,1,1,1
297,Ia,23.507,7,7,1,1
298,Ia,22.377,1,1,1,1
299,Ia,21.747,1,0,0,0
300,Ia,21.502,1,1,1,1
301,Ia,22.064,1,0,0,0
302,Ia,23.730,10,10,1,1
303,Ia,21.845,1,1,1,1
304,Ia,20.051,1,1,1,1
305,Ia,24.212,23,0,0,0
306,Ia,20.970,1,1,1,1
307,Ia,21.625,1,1,1,1
309,Ia,19.268,1,1,1,1
310,Ia,23.171,4,0,0,0
311,Ia,20.249,1,0,0,0
312,Ia,20.027,1,0,0,0
313,Ia,22.364,1,1,1,1
314,Ia,22.234,1,1,1,1
315,Ia,23.193,4,0,0,0
316,Ia,22.682,2,2,1,1
317,Ia,22.660,2,2,1,1
318,Ia,22.033,1,0,0,0
319,Ia,25.399,200,0,0,0
320,Ia,22.759,2,2,1,1
321,Ia,21.550,1,1,1,1
322,Ia,22.808,2,0,0,0
323,Ia,21.225,1,1,1,1
324,Ia,20.030,1,0,0,0
326,Ia,21.064,1,1,1,1
328,Ia,21.829,1,1,1,1
329,Ia,24.510,39,0,0,0
330,Ia,23.132,4,4,1,1
331,Ia,21.557,1,1,1,1
332,Ia,19.620,1,1,1,1
333,Ia,22.694,2,0,0,0
334,Ia,21.291,1,1,1,1
335,Ia,21.287,1,1,1,1
336,Ia,20.902,1,1,1,1
337,Ia,25.485,230,16,1,0
338,Ia,22.021,1,1,1,1
339,Ia,23.520,7,7,1,1
340,Ia,23.643,8,0,0,0
341,Ia,22.885,3,3,1,1
342,Ia,23.240,4,1,1,0
343,Ia,18.843,1,1,1,1
344,Ia,23.491,6,0,0,0
345,Ia,20.108,1,1,1,1
346,Ia,22.107,1,1,1,1
348,Ia,21.638,1,1,1,1
349,Ia,24.997,94,1,1,0
