field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,284132,242.08565,56.39879,0.7556,23.097
ELAIS-N1,1715652,243.67113,53.81326,0.7906,21.561
ELAIS-N1,1594712,242.26642,54.26855,1.3436,24.240
ELAIS-N1,1624467,242.86709,53.84850,0.9315,26.792
ELAIS-N1,748746,240.47824,55.47863,0.2904,25.230
ELAIS-N1,2231964,245.29244,55.81402,0.9325,22.608
ELAIS-N1,2798376,242.40199,54.12593,1.4830,25.757
ELAIS-N1,332063,244.57164,55.11587,0.3605,22.255
ELAIS-N1,2671129,242.64805,55.09612,1.5613,27.500
ELAIS-N1,2061879,241.76355,53.12897,0.6130,23.562
ELAIS-N1,2473891,240.80071,55.82660,1.1987,22.056
ELAIS-N1,2297793,242.09986,54.41276,0.9686,22.814
ELAIS-N1,770415,241.47622,53.01843,0.9068,23.743
ELAIS-N1,2045938,243.75846,54.50660,1.2199,20.002
ELAIS-N1,2403703,241.03706,54.23376,0.5923,20.887
ELAIS-N1,1642450,240.94176,53.57062,1.0773,24.461
ELAIS-N1,102824,241.81962,52.93499,0.6098,23.071
ELAIS-N1,690756,244.51165,54.23923,0.6562,20.352
ELAIS-N1,903937,241.69207,54.94023,1.6342,23.696
ELAIS-N1,157107,241.99183,54.94221,1.6739,26.458
ELAIS-N1,3217678,243.86659,56.42095,0.3857,23.408
ELAIS-N1,2948320,242.05003,53.20001,0.5695,25.314
ELAIS-N1,259022,241.79927,54.88065,0.8303,22.618
ELAIS-N1,2348964,241.58893,52.78996,0.2584,20.985
ELAIS-N1,2297099,245.79085,53.98174,0.3624,21.153
ELAIS-N1,592102,243.54751,54.72459,0.7206,22.149
ELAIS-N1,1101923,242.96066,52.68007,0.8283,25.314
ELAIS-N1,2752642,242.57658,53.69243,1.3280,27.127
ELAIS-N1,1530714,241.51489,54.48516,0.7397,27.991
ELAIS-N1,2685792,244.09239,54.66244,0.4794,21.405
ELAIS-N1,344160,241.68438,56.27857,0.7364,21.896
ELAIS-N1,2741677,245.73459,54.27364,0.2923,21.845
ELAIS-N1,1598948,242.19402,54.36465,0.6140,21.873
ELAIS-N1,1184591,242.28677,55.99221,0.3910,23.438
ELAIS-N1,1825320,241.96361,54.59201,0.9515,22.770
ELAIS-N1,865201,243.39431,54.77257,0.7228,22.167
ELAIS-N1,253055,245.00572,55.06058,0.9858,23.370
ELAIS-N1,2017186,244.29231,53.07816,0.5090,24.478
ELAIS-N1,1296944,245.08316,54.90473,0.4306,23.992
ELAIS-N1,1007787,243.29711,56.15893,0.3529,22.158
ELAIS-N1,680681,241.89557,55.79018,0.5290,24.014
ELAIS-N1,2533910,240.75337,54.14971,0.4832,19.845
ELAIS-N1,211928,241.41342,53.93271,0.5424,25.257
ELAIS-N1,2366375,241.92281,54.60482,0.6921,23.952
ELAIS-N1,2474829,242.03175,53.92000,0.8423,21.783
ELAIS-N1,1808528,245.47797,55.41983,0.7795,20.596
ELAIS-N1,322694,240.44418,54.35279,0.3666,21.948
ELAIS-N1,3343271,241.67609,56.29128,0.7087,27.552
ELAIS-N1,2862438,241.83315,53.99289,0.8143,27.026
ELAIS-N1,1010858,243.00039,55.10812,1.0651,24.461
ELAIS-N1,1267346,241.71446,54.98802,1.2983,25.593
ELAIS-N1,2549617,243.66977,54.67726,2.5699,25.063
ELAIS-N1,1018335,242.78094,53.17044,0.1869,23.556
ELAIS-N1,2998049,241.86678,55.09683,0.8386,21.983
