field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,3313806,240.32222,53.77658,1.3753,25.086
ELAIS-N1,1585034,242.65329,53.82464,0.9985,24.408
ELAIS-N1,3194259,244.20640,55.21567,2.1095,26.634
ELAIS-N1,87810,244.76380,53.60830,1.7001,26.171
ELAIS-N1,485669,243.13768,55.11991,2.1336,-9.000
ELAIS-N1,203227,241.75425,53.75254,1.5722,26.087
ELAIS-N1,1200821,240.72996,53.47603,0.9422,23.700
ELAIS-N1,274191,245.06219,54.54481,1.2017,24.726
ELAIS-N1,1128392,242.43859,54.07687,1.8803,27.743
ELAIS-N1,2110720,244.48739,54.10088,1.0621,23.911
ELAIS-N1,167623,243.18756,53.19930,0.8184,24.048
ELAIS-N1,1023940,242.53356,52.76570,1.3099,24.846
ELAIS-N1,2024431,245.69791,55.09596,0.9493,23.871
ELAIS-N1,2627720,244.64895,55.31140,1.6573,26.343
ELAIS-N1,1862304,241.68522,55.63433,1.5644,25.685
ELAIS-N1,465733,243.03841,54.65271,0.9583,23.904
ELAIS-N1,2743869,243.98028,54.07687,2.0300,27.934
ELAIS-N1,2120831,242.70996,54.34091,1.3418,24.904
ELAIS-N1,1563247,243.70640,54.05285,1.1550,24.298
ELAIS-N1,1693747,242.74124,54.89238,1.8428,27.485
ELAIS-N1,291609,243.26249,52.52457,1.3263,24.921
ELAIS-N1,3104490,241.13615,53.65639,1.3225,24.961
ELAIS-N1,352124,243.60691,54.72463,1.0313,24.145
ELAIS-N1,1433842,243.08023,53.51211,1.4712,25.135
ELAIS-N1,472093,243.12971,54.56879,1.4459,25.058
ELAIS-N1,1299870,240.03429,54.46087,1.4728,25.541
ELAIS-N1,10440,242.14003,54.78455,0.9095,24.142
ELAIS-N1,2315457,239.54412,54.48485,0.4011,21.992
ELAIS-N1,2775229,240.49389,52.93439,0.8935,24.217
ELAIS-N1,2576841,243.92729,54.40090,2.3966,-9.000
ELAIS-N1,2145341,243.46191,54.02884,1.0605,24.245
ELAIS-N1,2433879,243.91784,53.66841,1.7875,25.910
ELAIS-N1,1987898,243.63621,55.21567,1.3231,25.029
ELAIS-N1,1818969,240.55812,54.76058,1.0372,24.267
ELAIS-N1,739381,242.58586,55.21567,0.7868,23.816
ELAIS-N1,1751860,241.85334,53.81263,1.0111,24.283
ELAIS-N1,1077877,243.17479,54.74860,1.3226,24.935
ELAIS-N1,2196945,241.54770,55.72996,0.5749,22.825
ELAIS-N1,941740,242.75025,54.88040,0.5552,23.405
ELAIS-N1,1090219,243.64920,55.93308,1.7673,26.028
ELAIS-N1,3111080,245.37548,53.33167,1.4200,25.351
ELAIS-N1,2530457,244.14894,55.67019,1.5141,25.291
ELAIS-N1,206557,242.89028,55.76581,0.8492,24.177
ELAIS-N1,2515289,241.99321,54.08887,0.5008,22.622
ELAIS-N1,561988,242.07532,53.12707,1.9645,26.200
ELAIS-N1,2704049,240.58617,55.27551,0.6051,23.212
ELAIS-N1,346119,240.39628,54.41289,0.5973,22.759
ELAIS-N1,2806228,242.79719,54.46087,1.0558,24.065
ELAIS-N1,535677,240.68026,54.42489,1.8329,25.788
ELAIS-N1,1128176,240.89829,53.33167,0.3045,21.969
ELAIS-N1,663053,239.39701,55.08399,0.6876,23.706
ELAIS-N1,3205851,243.76453,54.05285,1.0498,23.962
