field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,2435807,240.51414,55.14385,0.6473,23.585
ELAIS-N1,1115700,244.84710,53.13911,0.8897,23.822
ELAIS-N1,3023260,240.49799,55.41908,0.7782,23.196
ELAIS-N1,817565,242.29990,53.87270,0.7804,23.540
ELAIS-N1,2896441,244.05236,53.84867,0.2593,21.365
ELAIS-N1,2363358,244.96699,54.85644,0.6160,23.197
ELAIS-N1,1304668,244.21677,54.28092,0.5854,23.005
ELAIS-N1,2150563,241.52098,53.45197,0.6118,23.740
ELAIS-N1,1088823,240.73009,55.94503,0.5669,22.878
ELAIS-N1,624528,241.79214,54.54481,0.7015,22.840
ELAIS-N1,2196812,243.03731,53.57223,0.5048,22.553
ELAIS-N1,1750418,243.41874,53.03074,0.8740,23.544
ELAIS-N1,1761361,242.61880,56.35094,0.8643,23.618
ELAIS-N1,1161478,244.04576,54.23292,1.0414,23.926
ELAIS-N1,3181056,240.09111,53.66841,0.7376,23.760
ELAIS-N1,2150629,242.23948,55.27551,0.1192,19.963
ELAIS-N1,1610936,242.81250,56.06446,0.6608,23.979
ELAIS-N1,2362864,244.51516,53.21133,0.5722,22.706
ELAIS-N1,403043,240.32104,54.76058,0.8514,23.827
ELAIS-N1,2140850,242.14072,55.13188,0.7951,23.374
ELAIS-N1,1216824,244.90557,54.98820,0.6581,23.705
ELAIS-N1,867877,240.59249,53.83666,0.6238,23.110
ELAIS-N1,849633,243.23985,52.47633,0.5545,22.751
ELAIS-N1,2920700,243.58158,54.06486,0.6434,23.138
ELAIS-N1,162932,242.87404,55.19173,0.7045,23.235
ELAIS-N1,2252860,244.20121,55.59846,0.8898,23.493
ELAIS-N1,548013,245.07583,53.22337,0.4910,22.771
ELAIS-N1,2337777,239.08273,54.50884,0.8390,23.952
ELAIS-N1,2084317,241.94749,53.95678,0.6701,23.369
ELAIS-N1,3030581,240.64889,55.41908,0.5699,23.205
ELAIS-N1,3237577,242.11485,52.64516,1.0295,23.836
ELAIS-N1,3121824,241.64241,54.92831,0.7936,23.459
ELAIS-N1,1087461,242.99410,54.59277,0.8373,23.984
ELAIS-N1,1703568,245.24771,55.83751,0.8085,23.543
ELAIS-N1,2466103,242.67273,54.90435,0.1801,21.260
ELAIS-N1,1354710,245.61377,55.13188,0.4749,23.218
ELAIS-N1,3076477,242.38118,53.33167,1.0567,23.995
ELAIS-N1,585691,243.25111,55.93308,0.8839,23.843
ELAIS-N1,2719888,243.01991,53.23540,0.5532,22.847
ELAIS-N1,2167517,239.30244,53.78859,0.7839,23.958
ELAIS-N1,1830355,240.74707,54.34091,0.6389,23.390
ELAIS-N1,2423136,241.77737,55.25157,0.5750,23.146
ELAIS-N1,2819731,242.15278,52.31948,0.6012,23.230
ELAIS-N1,1342368,242.75699,54.31692,0.7732,23.957
ELAIS-N1,2547521,245.07622,55.77776,0.6986,23.867
ELAIS-N1,1736555,241.78989,56.30320,0.8783,23.991
ELAIS-N1,764398,242.51967,56.12416,0.4562,22.525
ELAIS-N1,2458005,244.59535,54.58078,0.4010,22.107
ELAIS-N1,1297692,244.34382,55.35926,0.3958,22.055
ELAIS-N1,402556,242.39130,53.94477,0.9992,23.903
ELAIS-N1,198101,241.56300,53.77658,0.7464,23.436
ELAIS-N1,1736962,243.02140,55.87335,0.7627,23.435
ELAIS-N1,1990256,240.63861,54.84446,0.5182,22.792
ELAIS-N1,209748,239.34783,53.94477,0.7801,23.299
ELAIS-N1,173416,244.00915,55.77776,0.7732,23.573
ELAIS-N1,183934,243.17929,54.46087,0.8138,23.848
ELAIS-N1,2323161,242.51087,52.56075,0.1194,20.095
ELAIS-N1,847701,243.30534,54.77256,0.4657,22.743
ELAIS-N1,3173657,245.28189,53.95678,0.6461,23.002
ELAIS-N1,1869212,243.06457,52.72954,0.8562,23.661
ELAIS-N1,822239,239.35127,54.85644,0.8753,23.898
ELAIS-N1,755613,244.04770,55.22764,0.7676,23.269
ELAIS-N1,1558128,241.03399,53.07891,0.5061,22.518
ELAIS-N1,587223,241.15460,54.56879,0.8241,23.915
ELAIS-N1,3320269,244.66948,55.62237,0.3115,22.057
ELAIS-N1,1827368,244.11063,55.51476,0.6022,23.093
ELAIS-N1,3242690,242.15397,54.18491,0.6194,22.949
ELAIS-N1,511348,243.00913,55.72996,0.5888,23.089
ELAIS-N1,1182538,239.94638,54.28092,0.4126,22.169
ELAIS-N1,210606,243.53196,53.84867,0.1363,20.571
ELAIS-N1,1777372,242.86270,52.65721,0.4779,22.712
ELAIS-N1,2378040,242.99438,52.78980,0.4111,22.126
ELAIS-N1,2966739,240.49061,54.14890,0.9549,23.931
ELAIS-N1,1722413,243.03625,55.45496,0.7924,23.513
ELAIS-N1,208948,239.81761,54.68867,0.6482,23.007
ELAIS-N1,1911370,242.41255,52.77775,0.9047,23.636
ELAIS-N1,2674965,242.60033,54.72463,0.4599,22.626
ELAIS-N1,537953,245.71790,55.59846,0.8022,23.617
ELAIS-N1,2368785,240.81199,54.18491,0.6205,23.175
ELAIS-N1,49336,241.46453,55.68215,1.0076,23.843
ELAIS-N1,2347898,242.57769,52.58487,0.4900,22.645
ELAIS-N1,2448688,243.51356,53.13911,0.7255,23.209
ELAIS-N1,133583,242.75140,52.53663,0.7868,23.642
ELAIS-N1,1665431,242.56585,53.39183,0.6037,22.796
ELAIS-N1,1779657,245.28689,54.60476,0.5543,22.947
ELAIS-N1,83058,240.35646,53.33167,0.6227,23.121
ELAIS-N1,2719763,239.88565,55.00017,0.2594,21.613
ELAIS-N1,2655332,240.81855,55.35926,0.8535,23.973
ELAIS-N1,1822765,239.99523,53.46400,0.2424,21.184
ELAIS-N1,2926117,241.60467,54.74860,1.1485,23.906
ELAIS-N1,224353,240.22163,53.03074,0.3768,22.578
ELAIS-N1,1485915,239.81635,54.94029,0.5295,22.872
ELAIS-N1,2991968,241.81716,53.86068,0.6304,23.098
ELAIS-N1,1296647,245.36027,54.23292,0.9619,23.879
ELAIS-N1,198475,243.69588,56.27934,0.6208,23.181
ELAIS-N1,2750951,243.62069,56.05252,0.8873,23.762
