Source_Name,RA_deg,DEC_deg,Total_flux_mJy,Peak_flux_mJy
ILTJ162104.04+534627.7,245.26682,53.77438,3.8488,2.9845
ILTJ162103.26+534423.0,245.26356,53.73975,0.9652,0.5557
ILTJ162102.45+533243.3,245.26020,53.54538,0.9324,0.8352
ILTJ162057.76+531209.8,245.24066,53.20274,2.1844,1.7054
ILTJ162059.36+532500.6,245.24735,53.41685,2.1820,1.0867
ILTJ162058.76+531004.7,245.24485,53.16799,0.7888,0.5746
ILTJ162059.71+534335.5,245.24878,53.72655,0.6646,0.5551
ILTJ162058.05+531535.6,245.24187,53.25991,0.7346,0.4598
ILTJ162055.93+530945.3,245.23304,53.16259,2.5228,2.0359
ILTJ162057.42+535108.6,245.23923,53.85239,12.6501,8.1270
ILTJ162056.69+534804.7,245.23621,53.80133,2.8689,2.2110
ILTJ162053.71+532109.7,245.22381,53.35269,7.8154,4.5393
ILTJ162053.11+532547.2,245.22129,53.42980,0.6990,0.6451
ILTJ162050.98+533224.0,245.21241,53.54001,19.8884,8.3343
ILTJ162052.40+533637.4,245.21835,53.61041,1.5306,0.8694
ILTJ162049.39+531207.8,245.20580,53.20217,5.1817,3.2004
ILTJ162050.76+533925.7,245.21152,53.65716,1.0316,0.8975
ILTJ162049.74+533610.8,245.20724,53.60300,1.0486,0.6234
ILTJ162049.23+533815.7,245.20511,53.63771,0.9036,0.5280
ILTJ162046.86+533702.6,245.19525,53.61739,1.1931,0.6231
ILTJ162043.86+531712.8,245.18275,53.28689,0.4585,0.5048
ILTJ162044.81+535043.9,245.18673,53.84554,2.4150,1.8663
ILTJ162044.20+534243.7,245.18418,53.71215,1.4389,1.0509
ILTJ162039.97+531000.8,245.16656,53.16691,0.6022,0.3394
ILTJ162040.90+534629.9,245.17041,53.77497,0.8645,0.5756
ILTJ162037.97+532435.5,245.15821,53.40987,0.8055,0.8122
ILTJ162037.44+533729.7,245.15602,53.62494,0.5740,0.5424
ILTJ162035.02+532212.1,245.14591,53.37004,44.2828,31.4903
ILTJ162036.73+534943.0,245.15304,53.82864,0.9327,0.6235
ILTJ162035.49+532528.8,245.14788,53.42467,1.0746,0.6357
ILTJ162034.67+533325.7,245.14445,53.55716,2.5295,1.2355
ILTJ162034.45+533028.5,245.14356,53.50793,1.3032,1.0887
ILTJ162035.34+534924.8,245.14725,53.82357,1.1348,0.4504
ILTJ162032.69+531901.5,245.13623,53.31710,2.4099,1.7302
